variavel,categoria,valor,Ano
Populacao,total_populacao,0.542696910455782,2013
Renda,1º Quintil,0.346952920648319,2013
Renda,2º Quintil,0.436074607120906,2013
Renda,3º Quintil,0.535238339948967,2013
Renda,4º Quintil,0.642327262877528,2013
Renda,5º Quintil,0.777556662245871,2013
Raca_cor,Branca,0.596542299955324,2013
Raca_cor,Parda,0.483345859834773,2013
Raca_cor,Preta,0.487055833129157,2013
Populacao,total_populacao,0.583132161368326,2019
Renda,1º Quintil,0.441125143434098,2019
Renda,2º Quintil,0.50383876616899,2019
Renda,3º Quintil,0.586339016598836,2019
Renda,4º Quintil,0.623418708967061,2019
Renda,5º Quintil,0.78080259050947,2019
Raca_cor,Branca,0.617887454750095,2019
Raca_cor,Parda,0.544272676722479,2019
Raca_cor,Preta,0.564752378433466,2019
