DTNASC,RACACOR,n_ideal,total,p_ideal
2000,1,832054,1553214,53.5698236044743
2000,2,29547,88113,33.5330768445065
2000,3,6527,19967,32.6889367456303
2000,4,364708,1100810,33.1308763546843
2000,5,4467,18305,24.4031685331877
2001,1,824833,1477958,55.8089607417802
2001,2,27990,81282,34.4356684136709
2001,3,6167,19053,32.3676061512623
2001,4,382860,1134726,33.7403038266507
2001,5,4041,16887,23.9296500266477
2002,1,841566,1439116,58.4779823169223
2002,2,26781,73593,36.3906893318658
2002,3,5292,15056,35.1487778958555
2002,4,396601,1144039,34.6667377598141
2002,5,4260,15503,27.4785525382184
2003,1,862312,1396893,61.7307123738182
2003,2,26179,66469,39.3852773473349
2003,3,4941,12836,38.4933000934871
2003,4,435758,1196989,36.4045116538247
2003,5,4163,16338,25.4804749663361
2004,1,905684,1396746,64.8424266115672
2004,2,26622,62671,42.4789775175121
2004,3,4831,11284,42.8128323289614
2004,4,455898,1220216,37.3620736000839
2004,5,4070,15757,25.8297899346322
2005,1,911511,1370277,66.520199930379
2005,2,27468,62293,44.0948421170918
2005,3,4289,9564,44.8452530322041
2005,4,492090,1290165,38.1416330469359
2005,5,3374,15025,22.4559068219634
2006,1,918313,1329360,69.0793314075946
2006,2,24547,52622,46.6477898977614
2006,3,3222,6392,50.4067584480601
2006,4,535521,1314626,40.7356160611459
2006,5,2566,14229,18.0335933656617
2007,1,918905,1293988,71.0134097070452
2007,2,24621,49516,49.7233217545844
2007,3,2817,5275,53.4028436018957
2007,4,567866,1341050,42.3448790127139
2007,5,2419,14516,16.6643703499587
2008,1,948782,1308515,72.5083013950929
2008,2,24989,48120,51.9305901911887
2008,3,3049,5578,54.661168877734
2008,4,604250,1383945,43.6614171805961
2008,5,2692,15979,16.8471118342825
2009,1,942593,1281416,73.5587038089114
2009,2,24012,45851,52.3696320690934
2009,3,3569,5772,61.8329868329868
2009,4,625573,1380961,45.2998310596751
2009,5,2751,15753,17.4633403161303
2010,1,964722,1280768,75.3237120227863
2010,2,23654,43856,53.9356074425392
2010,3,3392,5406,62.7450980392157
2010,4,671587,1386622,48.4333149192787
2010,5,3002,15865,18.9221556886228
2011,1,917890,1219133,75.2903907941135
2011,2,58452,113514,51.4932078862519
2011,3,5147,8202,62.7529870763229
2011,4,738508,1441161,51.2439623331467
2011,5,4423,19610,22.5548189699133
2012,1,810882,1088338,74.506449283219
2012,2,85490,153613,55.652841881872
2012,3,7531,11092,67.8957807428778
2012,4,819772,1513462,54.1653506992577
2012,5,5157,21700,23.7649769585254
2013,1,798408,1059892,75.3291844829473
2013,2,88446,155537,56.8649260304622
2013,3,7782,11586,67.1672708441222
2013,4,848066,1536302,55.2017767340015
2013,5,5763,22024,26.1669088267345
2014,1,817908,1068438,76.5517512480837
2014,2,91940,153335,59.9602178237193
2014,3,8019,11612,69.0578711677575
2014,4,930643,1601527,58.1097290273595
2014,5,7004,23017,30.4296824086545
2015,1,832681,1070836,77.7598997418839
2015,2,93052,150385,61.8758519799182
2015,3,7776,10892,71.3918472273228
2015,4,984082,1628382,60.4331170450177
2015,5,7680,22863,33.5913922057473
2016,1,789726,1003260,78.7159858860116
2016,2,94208,148281,63.5334263998759
2016,3,7658,10451,73.2752846617549
2016,4,958315,1550976,61.7878677684245
2016,5,7743,23267,33.2788928525379
2017,1,817538,1023015,79.9145662575818
2017,2,104130,158876,65.5416803041366
2017,3,8810,11953,73.7053459382582
2017,4,1015497,1596222,63.6187823498235
2017,5,8788,24708,35.5674275538287
2018,1,817522,1011814,80.7976564862712
2018,2,114697,170240,67.3737077067669
2018,3,9667,12954,74.6255982708044
2018,4,1070869,1629741,65.7079253697367
2018,5,9803,26223,37.3832132097777
2019,1,786778,964549,81.569521092241
2019,2,121345,176224,68.8583847830035
2019,3,9625,12738,75.5613126079447
2019,4,1083370,1594226,67.9558607123457
2019,5,10716,26371,40.6355466231846
2020,1,734957,908519,80.8961617753729
2020,2,123255,179411,68.6998010155453
2020,3,9141,12309,74.2627345844504
2020,4,1013843,1533180,66.1268083330072
2020,5,10136,25741,39.3768695854862
2021,1,713019,868704,82.0784755221572
2021,2,130289,182277,71.4785738189679
2021,3,9192,12141,75.7104027674821
2021,4,1050313,1519876,69.1051770012817
2021,5,12277,28858,42.5427957585418
2022,1,700658,851088,82.324976970654
2022,2,133637,183559,72.8032948534259
2022,3,8977,11721,76.5890282399113
2022,4,1024230,1431698,71.5395285877329
2022,5,12437,27507,45.213945541135
2023,1,703843,840045,83.7863447791487
2023,2,146831,196324,74.7901428251258
2023,3,9519,11956,79.6169287387086
2023,4,1052389,1413625,74.4461225572553
2023,5,14706,29623,49.6438578131857
