DTNASC,1,4,razao
2000,26.1490384158491,71.2460285167646,2.72461370792059
2001,27.2237936814346,73.5551945256124,2.7018715828637
2002,29.9616132933691,75.6354023558028,2.52441020499193
2003,29.990603825701,77.147486520342,2.57238857105735
2004,30.9998102826788,78.1578387686126,2.52123603518578
2005,31.4496891492702,78.0143661502251,2.48060849758941
2006,33.6448955575169,78.8689300027397,2.34415737352821
2007,34.9304252763419,78.9212421773527,2.25938394831985
2008,36.2352421522314,79.4875465216147,2.19365296877752
2009,36.559247093944,79.75760647388,2.18159871479114
2010,39.1599199354704,80.8019994752758,2.06338520631363
2011,39.6095637117633,82.2574611131174,2.07670707285999
2012,40.5374635784166,82.0075266911193,2.02300586795427
2013,40.8420289636218,81.8979427833282,2.00523688125962
2014,44.1073269625638,82.0259330339312,1.85968950472902
2015,45.7472606875254,82.4890114656681,1.80314646660716
2016,45.9964939853715,83.1262865424201,1.80723092870637
2017,47.2304815208471,83.8063273934079,1.7744118775587
2018,49.7694459142792,84.0765680267066,1.68932095751109
2019,53.5130387785434,84.6127957237602,1.58116222989913
2020,49.8713412672885,83.4090951479093,1.67248550025701
2021,51.4007014467339,84.6649946867942,1.64715640650414
2022,54.1078883462032,84.8893634031443,1.56889071072205
2023,57.1994184787652,85.8290711021557,1.50052349105645
