DTNASC,razao,value
2000,razao_2,1.59752186931365
2000,razao_3,1.63877534535091
2000,razao_4,1.61691538222472
2000,razao_5,2.19519950991695
2001,razao_2,1.62067307860428
2001,razao_3,1.72422268366002
2001,razao_4,1.65407404238304
2001,razao_5,2.3322096511914
2002,razao_2,1.60694901334874
2002,razao_3,1.66372732759558
2002,razao_4,1.68686141517216
2002,razao_5,2.12813183065551
2003,razao_2,1.56735502531621
2003,razao_3,1.60367420366389
2003,razao_4,1.6956885168746
2003,razao_5,2.42266725621774
2004,razao_2,1.52645921349768
2004,razao_3,1.51455587225196
2004,razao_4,1.73551466403143
2004,razao_5,2.51037374967682
2005,razao_2,1.50857099689206
2005,razao_3,1.48332756384739
2005,razao_4,1.74403124922631
2005,razao_5,2.96225845866611
2006,razao_2,1.48087040262779
2006,razao_3,1.37043788441137
2006,razao_4,1.69579689930069
2006,razao_5,3.8305916079449
2007,razao_2,1.42817107146503
2007,razao_3,1.3297683216353
2007,razao_4,1.6770247397737
2007,razao_5,4.26139171272206
2008,razao_2,1.39625413707306
2008,razao_3,1.32650477265276
2008,razao_4,1.66069509597405
2008,razao_5,4.30390099551333
2009,razao_2,1.40460608376745
2009,razao_3,1.18963529948175
2009,razao_4,1.62381850192796
2009,razao_5,4.21217833915587
2010,razao_2,1.39654887734477
2010,razao_3,1.20047166036316
2010,razao_4,1.55520455596162
2010,razao_5,3.98071516069787
2011,razao_2,1.46214217145744
2011,razao_3,1.19978975188133
2011,razao_4,1.46925388604098
2011,razao_5,3.33810663231419
2012,razao_2,1.33877169186374
2012,razao_3,1.09736493885203
2012,razao_4,1.37553709745001
2012,razao_5,3.13513660935786
2013,razao_2,1.3247038155399
2013,razao_3,1.12151623158498
2013,razao_4,1.36461521602707
2013,razao_5,2.87879569504152
2014,razao_2,1.27670902519305
2014,razao_3,1.10851594399894
2014,razao_4,1.31736548301647
2014,razao_5,2.515693401595
2015,razao_2,1.25670834830882
2015,razao_3,1.08919859566435
2015,razao_4,1.2867100613718
2015,razao_5,2.31487576536288
2016,razao_2,1.23896963136503
2016,razao_3,1.07425015473323
2016,razao_4,1.27397155346147
2016,razao_5,2.36534268837638
2017,razao_2,1.21929382778638
2017,razao_3,1.08424382573993
2017,razao_4,1.25614737198445
2017,razao_5,2.2468469539057
2018,razao_2,1.19924610410236
2018,razao_3,1.08270698471414
2018,razao_4,1.22964857026949
2018,razao_5,2.16133525047382
2019,razao_2,1.18459823519379
2019,razao_3,1.07951434771217
2019,razao_4,1.20033092417917
2019,razao_5,2.00734400963371
2020,razao_2,1.17753123851214
2020,razao_3,1.08932376686693
2020,razao_4,1.22334895354376
2020,razao_5,2.05440814942766
2021,razao_2,1.14829481251312
2021,razao_3,1.08411093485042
2021,razao_4,1.18773265743368
2021,razao_5,1.92931550592035
2022,razao_2,1.13078641751583
2022,razao_3,1.07489256441243
2022,razao_4,1.15076208350596
2022,razao_5,1.82078728112228
2023,razao_2,1.12028593092886
2023,razao_3,1.05236846116136
2023,razao_4,1.12546284347731
2023,razao_5,1.68774846415934
